po_id,item_description,vendor,region,department,po_date,quantity,unit_price,po_value
HPCL_PO_101935,SS valve size 2 inch,VENDOR_C,WR,REFINERY,2022-03-28,20,275.86,5517.2
HPCL_PO_106494,Supply of CS Pipe 200mm,VENDOR_B,SR,MARKETING,2019-05-23,150,175.76,26364.0
HPCL_PO_101720,"Supply of SS Valve 2""",VENDOR_B,ER,PIPELINE,2022-04-05,15,239.33,3589.95
HPCL_PO_109120,SS valve size 2 inch,VENDOR_C,ER,MARKETING,2019-09-20,41,262.86,10777.26
HPCL_PO_100360,Carbon Steel Pipe 200 mm,VENDOR_D,WR,LPG,2021-08-23,126,176.36,22221.36
HPCL_PO_109663,Supply of CS Pipe 200mm,VENDOR_B,SR,LPG,2023-08-12,149,169.29,25224.21
HPCL_PO_105277,CS Pipe of 200mm size,VENDOR_D,WR,REFINERY,2022-10-28,123,177.25,21801.75
HPCL_PO_108546,Carbon steel pipeline 100mm,VENDOR_A,WR,PIPELINE,2021-06-14,15,96.74,1451.1
HPCL_PO_102221,SS valve size 2 inch,VENDOR_B,SR,LPG,2022-03-09,199,361.72,71982.28
HPCL_PO_104617,MS Flange 4 inch,VENDOR_A,WR,REFINERY,2021-05-24,176,212.0,37312.0
HPCL_PO_103465,SS valve size 2 inch,VENDOR_A,WR,MARKETING,2022-08-17,19,410.93,7807.67
HPCL_PO_101408,200 mm dia carbon steel pipe,VENDOR_C,NR,REFINERY,2023-07-22,85,187.98,15978.3
HPCL_PO_100468,2in SS control valve,VENDOR_D,ER,PIPELINE,2023-06-16,198,240.18,47555.64
HPCL_PO_101175,2in SS control valve,VENDOR_B,ER,MARKETING,2023-06-18,127,262.88,33385.76
HPCL_PO_105224,100mm carbon steel pipe,VENDOR_A,ER,LPG,2024-07-22,88,109.1,9600.8
HPCL_PO_108128,Carbon Steel Pipe 200 mm,VENDOR_D,SR,PIPELINE,2021-06-28,49,196.65,9635.85
HPCL_PO_100424,Stainless steel valve 2 inch,VENDOR_D,WR,LPG,2022-07-04,146,232.69,33972.74
HPCL_PO_107047,CS pipe dia 100 mm,VENDOR_D,NR,PIPELINE,2023-12-24,171,105.31,18008.01
HPCL_PO_102483,4 inch MS flange,VENDOR_C,ER,PIPELINE,2020-07-15,16,137.73,2203.68
HPCL_PO_101825,"Supply of SS Valve 2""",VENDOR_A,SR,LPG,2023-12-03,5,239.34,1196.7
HPCL_PO_110557,2in SS control valve,VENDOR_D,ER,LPG,2024-11-23,118,269.07,31750.26
HPCL_PO_101483,Stainless steel valve 2 inch,VENDOR_B,WR,PIPELINE,2020-03-09,161,236.1,38012.1
HPCL_PO_109290,200 mm dia carbon steel pipe,VENDOR_D,SR,PIPELINE,2023-01-06,156,168.96,26357.76
HPCL_PO_109709,Supply of CS Pipe 200mm,VENDOR_D,WR,REFINERY,2022-03-06,116,184.2,21367.2
HPCL_PO_101650,SS valve size 2 inch,VENDOR_A,WR,PIPELINE,2020-05-12,133,268.3,35683.9
HPCL_PO_109786,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_D,NR,PIPELINE,2023-09-07,150,110.46,16569.0
HPCL_PO_102813,Mild steel flange of 4in size,VENDOR_A,SR,PIPELINE,2019-10-30,116,149.65,17359.4
HPCL_PO_103704,CS Pipe 100 mm size,VENDOR_B,SR,PIPELINE,2024-01-11,87,96.2,8369.4
HPCL_PO_106118,CS pipe dia 100 mm,VENDOR_A,SR,MARKETING,2024-10-20,42,92.23,3873.66
HPCL_PO_105042,SS valve size 2 inch,VENDOR_C,ER,MARKETING,2020-09-30,11,251.51,2766.61
HPCL_PO_111208,Mild steel flange of 4in size,VENDOR_D,SR,MARKETING,2023-01-10,26,142.35,3701.1
HPCL_PO_107238,SS valve size 2 inch,VENDOR_A,SR,PIPELINE,2024-02-26,67,235.88,15803.96
HPCL_PO_111505,Supply of Carbon Steel Pipe of 100 mm diameter,VENDOR_C,NR,REFINERY,2020-07-03,97,94.95,9210.15
HPCL_PO_111074,Supply of CS Pipe 200mm,VENDOR_C,ER,LPG,2019-11-25,61,179.59,10954.99
HPCL_PO_110996,Carbon Steel Pipe 200 mm,VENDOR_B,NR,REFINERY,2020-03-09,25,193.7,4842.5
HPCL_PO_104999,Mild steel flange of 4in size,VENDOR_B,ER,LPG,2022-02-11,23,148.69,3419.87
HPCL_PO_108480,Mild steel flange of 4in size,VENDOR_A,NR,REFINERY,2021-10-11,135,147.67,19935.45
HPCL_PO_109267,Supply of CS Pipe 200mm,VENDOR_B,WR,REFINERY,2021-08-15,189,176.51,33360.39
